0.0002	0	-0.000682328
0.0002	0.01	-0.00150189
0.0002	0.02	-0.00102477
0.0002	0.03	-0.0018655
0.0002	0.04	-0.00326216
0.0002	0.05	-0.00550651
0.0002	0.06	-0.00900243
0.0002	0.07	-0.0142886
0.0002	0.08	-0.0220559
0.0002	0.09	-0.033155
0.0002	0.1	-0.0485861
0.0002	0.11	-0.0694655
0.0002	0.12	-0.0969636
0.0002	0.13	-0.132211
0.0002	0.14	-0.176171
0.0002	0.15	-0.229498
0.0002	0.16	-0.292371
0.0002	0.17	-0.36435
0.0002	0.18	-0.444254
0.0002	0.19	-0.530103
0.0002	0.2	-0.619127
0.0002	0.21	-0.707872
0.0002	0.22	-0.792399
0.0002	0.23	-0.868555
0.0002	0.24	-0.932308
0.0002	0.25	-0.9801
0.0002	0.26	-1.00917
0.0002	0.27	-1.01783
0.0002	0.28	-1.00561
0.0002	0.29	-0.973304
0.0002	0.3	-0.922912
0.0002	0.31	-0.857399
0.0002	0.32	-0.78043
0.0002	0.33	-0.696034
0.0002	0.34	-0.608256
0.0002	0.35	-0.520853
0.0002	0.36	-0.437048
0.0002	0.37	-0.359366
0.0002	0.38	-0.289566
0.0002	0.39	-0.228647
0.0002	0.4	-0.176927
0.0002	0.41	-0.134157
0.0002	0.42	-0.099673
0.0002	0.43	-0.0725359
0.0002	0.44	-0.051664
0.0002	0.45	-0.0359393
0.0002	0.46	-0.0242839
0.0002	0.47	-0.0157054
0.0002	0.48	-0.00931422
0.0002	0.49	-0.0043183
0.0002	0.5	0
0.0002	0.51	0.0043183
0.0002	0.52	0.00931422
0.0002	0.53	0.0157054
0.0002	0.54	0.0242839
0.0002	0.55	0.0359393
0.0002	0.56	0.051664
0.0002	0.57	0.0725359
0.0002	0.58	0.099673
0.0002	0.59	0.134157
0.0002	0.6	0.176927
0.0002	0.61	0.228647
0.0002	0.62	0.289566
0.0002	0.63	0.359366
0.0002	0.64	0.437048
0.0002	0.65	0.520853
0.0002	0.66	0.608256
0.0002	0.67	0.696034
0.0002	0.68	0.78043
0.0002	0.69	0.857399
0.0002	0.7	0.922912
0.0002	0.71	0.973304
0.0002	0.72	1.00561
0.0002	0.73	1.01783
0.0002	0.74	1.00917
0.0002	0.75	0.9801
0.0002	0.76	0.932308
0.0002	0.77	0.868555
0.0002	0.78	0.792399
0.0002	0.79	0.707872
0.0002	0.8	0.619127
0.0002	0.81	0.530103
0.0002	0.82	0.444254
0.0002	0.83	0.36435
0.0002	0.84	0.292371
0.0002	0.85	0.229498
0.0002	0.86	0.176171
0.0002	0.87	0.132211
0.0002	0.88	0.0969636
0.0002	0.89	0.0694655
0.0002	0.9	0.0485861
0.0002	0.91	0.033155
0.0002	0.92	0.0220559
0.0002	0.93	0.0142886
0.0002	0.94	0.00900243
0.0002	0.95	0.00550651
0.0002	0.96	0.00326216
0.0002	0.97	0.0018655
0.0002	0.98	0.00102477
0.0002	0.99	0.00150189
0.0002	1	0.000682328


0.0022	0	-2.54306e-10
0.0022	0.01	-0.00695153
0.0022	0.02	-0.0135982
0.0022	0.03	-0.0196553
0.0022	0.04	-0.0248771
0.0022	0.05	-0.0290724
0.0022	0.06	-0.0321159
0.0022	0.07	-0.0339543
0.0022	0.08	-0.0346065
0.0022	0.09	-0.0341579
0.0022	0.1	-0.0327497
0.0022	0.11	-0.0305635
0.0022	0.12	-0.0278049
0.0022	0.13	-0.0246854
0.0022	0.14	-0.0214069
0.0022	0.15	-0.0181489
0.0022	0.16	-0.0150608
0.0022	0.17	-0.0122585
0.0022	0.18	-0.00982694
0.0022	0.19	-0.00782654
0.0022	0.2	-0.00630461
0.0022	0.21	-0.00608074
0.0022	0.22	-0.00490762
0.0022	0.23	-0.00539613
0.0022	0.24	-0.00677045
0.0022	0.25	-0.00929701
0.0022	0.26	-0.0133372
0.0022	0.27	-0.0193594
0.0022	0.28	-0.0279418
0.0022	0.29	-0.0397593
0.0022	0.3	-0.0555515
0.0022	0.31	-0.0760654
0.0022	0.32	-0.101971
0.0022	0.33	-0.133749
0.0022	0.34	-0.17156
0.0022	0.35	-0.215102
0.0022	0.36	-0.263473
0.0022	0.37	-0.315074
0.0022	0.38	-0.367559
0.0022	0.39	-0.417868
0.0022	0.4	-0.462359
0.0022	0.41	-0.497049
0.0022	0.42	-0.517934
0.0022	0.43	-0.521399
0.0022	0.44	-0.504635
0.0022	0.45	-0.46604
0.0022	0.46	-0.405526
0.0022	0.47	-0.324689
0.0022	0.48	-0.226804
0.0022	0.49	-0.116623
0.0022	0.5	-1.2039e-15
0.0022	0.51	0.116623
0.0022	0.52	0.226804
0.0022	0.53	0.324689
0.0022	0.54	0.405526
0.0022	0.55	0.46604
0.0022	0.56	0.504635
0.0022	0.57	0.521399
0.0022	0.58	0.517934
0.0022	0.59	0.497049
0.0022	0.6	0.462359
0.0022	0.61	0.417868
0.0022	0.62	0.367559
0.0022	0.63	0.315074
0.0022	0.64	0.263473
0.0022	0.65	0.215102
0.0022	0.66	0.17156
0.0022	0.67	0.133749
0.0022	0.68	0.101971
0.0022	0.69	0.0760654
0.0022	0.7	0.0555515
0.0022	0.71	0.0397593
0.0022	0.72	0.0279418
0.0022	0.73	0.0193594
0.0022	0.74	0.0133372
0.0022	0.75	0.00929701
0.0022	0.76	0.00677045
0.0022	0.77	0.00539613
0.0022	0.78	0.00490762
0.0022	0.79	0.00608074
0.0022	0.8	0.00630461
0.0022	0.81	0.00782654
0.0022	0.82	0.00982694
0.0022	0.83	0.0122585
0.0022	0.84	0.0150608
0.0022	0.85	0.0181489
0.0022	0.86	0.0214069
0.0022	0.87	0.0246854
0.0022	0.88	0.0278049
0.0022	0.89	0.0305635
0.0022	0.9	0.0327497
0.0022	0.91	0.0341579
0.0022	0.92	0.0346065
0.0022	0.93	0.0339543
0.0022	0.94	0.0321159
0.0022	0.95	0.0290724
0.0022	0.96	0.0248771
0.0022	0.97	0.0196553
0.0022	0.98	0.0135982
0.0022	0.99	0.00695153
0.0022	1	2.54306e-10


0.0042	0	1.86437e-05
0.0042	0.01	0.00286356
0.0042	0.02	0.00572624
0.0042	0.03	0.00860685
0.0042	0.04	0.0114866
0.0042	0.05	0.0143233
0.0042	0.06	0.0170538
0.0042	0.07	0.0196051
0.0042	0.08	0.0219143
0.0042	0.09	0.0239569
0.0042	0.1	0.0257831
0.0042	0.11	0.0275574
0.0042	0.12	0.029599
0.0042	0.13	0.0324156
